fid,block_num,multigeom
1,0001,F
2,0002,F
3,0004,F
4,0005,F
5,0006,F
6,0007,F
7,0010,F
8,0011,F
9,0012,F
10,0013,F
11,0014,F
12,0015,F
13,0016,F
14,0017,F
15,0018,F
16,0019,F
17,0020,F
18,0021,F
19,0022,F
20,0023,F
21,0024,T
22,0024,T
23,0025,F
24,0026,F
25,0026T,F
26,0027,F
27,0028,T
28,0028,T
29,0029,F
30,0030,F
31,0031,F
32,0032,F
33,0033,F
34,0034,F
35,0035,F
36,0036,F
37,0037,F
38,0038,F
39,0039,T
40,0039,T
41,0040,F
42,0041,T
43,0041,T
44,0042,F
45,0043,T
46,0043,T
47,0044,F
48,0045,F
49,0046,F
50,0047,F
51,0048,F
52,0049,F
53,0050,T
54,0050,T
55,0050,T
56,0051,T
57,0051,T
58,0052,F
59,0053,F
60,0054,T
61,0054,T
62,0054,T
63,0054,T
64,0055,F
65,0056,F
66,0057,F
67,0058,F
68,0059,F
69,0060,T
70,0060,T
71,0061,T
72,0061,T
73,0062,F
74,0063,F
75,0064,F
76,0065,T
77,0065,T
78,0066,F
79,0067,F
80,0068,T
81,0068,T
82,0069,F
83,0070,F
84,0071,F
85,0072,F
86,0073,F
87,0074,T
88,0074,T
89,0075,F
90,0076,F
91,0077,F
92,8720,F
93,8725,F
94,0078,T
95,0078,T
96,0078,T
97,0079,T
98,0079,T
99,0080,F
100,0081,F
101,0082,F
102,0083,F
103,0084,F
104,0085,F
105,0086,T
106,0086,T
107,0086,T
108,0087,F
109,0088,T
110,0088,T
111,0089,F
112,0090,T
113,0090,T
114,0090,T
115,0090,T
116,8726,F
117,0091,T
118,0091,T
119,0092,T
120,0092,T
121,0093,F
122,0094,F
123,0095,F
124,0096,T
125,0096,T
126,0097,F
127,0098,F
128,0099,T
129,0099,T
130,0100,F
131,0101,F
132,0102,T
133,0102,T
134,0103,T
135,0103,T
136,0104,T
137,0104,T
138,0104,T
139,0105,F
140,0106,T
141,0106,T
142,0107,F
143,0108,F
144,0109,F
145,0110,F
146,0111,T
147,0111,T
148,0112,T
149,0112,T
150,0113,T
151,0113,T
152,0114,T
153,0114,T
154,0115,T
155,0115,T
156,0115,T
157,0116,T
158,0116,T
159,0116,T
160,0117,T
161,0117,T
162,0118,F
163,0119,F
164,0120,T
165,0120,T
166,0121,T
167,0121,T
168,0121,T
169,0121A,F
170,0122,F
171,0123,T
172,0123,T
173,0123,T
174,0123,T
175,0124,F
176,0125,F
177,8729,F
178,0126,F
179,0127,F
180,0128,F
181,0129,F
182,0130,F
183,0131,T
184,0131,T
185,0132,F
186,0133,F
187,0134,F
188,0135,F
189,0136,F
190,0137,F
191,0138,F
192,0139,F
193,0140,F
194,0141,F
195,0142,F
196,0143,T
197,0143,T
198,0144,F
199,0145,T
200,0145,T
201,0145,T
202,0145,T
203,0146,T
204,0146,T
205,0147,T
206,0147,T
207,0148,F
208,0149,F
209,0150,T
210,0150,T
211,0151,T
212,0151,T
213,0152,F
214,0153,F
215,0154,T
216,0154,T
217,0155,T
218,0155,T
219,0156,T
220,0156,T
221,0157,T
222,0157,T
223,0158,T
224,0158,T
225,0158,T
226,0159,T
227,0159,T
228,0159,T
229,0160,T
230,0160,T
231,0161,F
232,0162,T
233,0162,T
234,0162,T
235,0163,F
236,0164,T
237,0164,T
238,8731,F
239,0165,F
240,0166,F
241,0167,F
242,0168,F
243,0171,F
244,0172,F
245,0173,F
246,0174,F
247,0175,T
248,0175,T
249,0175,T
250,0176,T
251,0176,T
252,0177,T
253,0177,T
254,0178,F
255,0179,T
256,0179,T
257,0180,T
258,0180,T
259,0181,T
260,0181,T
261,0182,F
262,0183,F
263,0184,F
264,0185,F
265,0186,F
266,0187,F
267,0188,F
268,0189,F
269,0190,F
270,0191,F
271,0192,T
272,0192,T
273,0193,T
274,0193,T
275,0194,T
276,0194,T
277,0195,T
278,0195,T
279,0196,T
280,0196,T
281,0197,T
282,0197,T
283,0198,F
284,0199,F
285,0200,F
286,0201,F
287,0202,F
288,0203,F
289,0204,F
290,0206,T
291,0206,T
292,0207,F
293,0208,T
294,0208,T
295,0209,T
296,0209,T
297,0210,T
298,0210,T
299,0210,T
300,0210A,F
301,0211,F
302,8727,F
303,0212,T
304,0212,T
305,0212,T
306,0213,F
307,0214,F
308,0215,T
309,0215,T
310,0215,T
311,0216,F
312,0217,F
313,0218,F
314,0219,F
315,0220,F
316,0221,T
317,0221,T
318,0222,T
319,0222,T
320,0222A,F
321,0223,F
322,0224,T
323,0224,T
324,0224A,F
325,0225,T
326,0225,T
327,0226,T
328,0226,T
329,0227,T
330,0227,T
331,0228,T
332,0228,T
333,0228,T
334,0228,T
335,0229,T
336,0229,T
337,0230,F
338,0231,F
339,0232,F
340,0233,F
341,0234,F
342,0235,F
343,0236,F
344,0237,T
345,0237,T
346,0238,T
347,0238,T
348,0239,T
349,0239,T
350,0239,T
351,0240,T
352,0240,T
353,0241,F
354,0242,F
355,0243,T
356,0243,T
357,0244,F
358,0245,T
359,0245,T
360,0246,F
361,0247,F
362,0248,F
363,0249,F
364,0250,F
365,0251,F
366,0252,F
367,0253,T
368,0253,T
369,0253A,F
370,0253T,F
371,0254,F
372,0255,F
373,0256,T
374,0256,T
375,0256T,F
376,0257,F
377,0258,T
378,0258,T
379,0259,F
380,0260,T
381,0260,T
382,0261,F
383,0262,F
384,0263,F
385,0264,F
386,0265,F
387,0266,F
388,0267,F
389,0268,F
390,0269,T
391,0269,T
392,0270,T
393,0270,T
394,0271,F
395,0272,T
396,0272,T
397,0273,F
398,0274,F
399,0275,F
400,0275A,F
401,0275B,F
402,0276,F
403,0277,F
404,0278,F
405,0279,F
406,0280,F
407,0281,F
408,0282,F
409,0283,F
410,0284,F
411,0285,F
412,0286,F
413,0287,T
414,0287,T
415,0288,T
416,0288,T
417,0289,F
418,0290,F
419,0291,F
420,0292,F
421,0293,F
422,0294,T
423,0294,T
424,0295,F
425,0296,F
426,0297,F
427,0298,T
428,0298,T
429,0298,T
430,0298,T
431,0299,F
432,0300,F
433,0301,F
434,0302,F
435,0303,F
436,0304,F
437,8732,F
438,0305,T
439,0305,T
440,0306,F
441,0307,F
442,0308,F
443,0309,T
444,0309,T
445,0310,T
446,0310,T
447,0311,F
448,0312,F
449,0313,F
450,0314,F
451,0315,T
452,0315,T
453,0316,F
454,0317,T
455,0317,T
456,0318,F
457,0319,F
458,0320,F
459,0321,F
460,0322,F
461,0322A,F
462,0323,F
463,0324,F
464,0325,F
465,0326,T
466,0326,T
467,0327,F
468,0328,F
469,0329,F
470,0330,T
471,0330,T
472,0331,F
473,0332,F
474,0333,F
475,0334,F
476,0335,F
477,0336,F
478,0337,F
479,0338,F
480,0339,F
481,0340,F
482,0341,T
483,0341,T
484,0342,F
485,0343,F
486,0344,F
487,0345,F
488,0346,F
489,0347,F
490,0348,F
491,0349,F
492,0350,F
493,0351,T
494,0351,T
495,0351,T
496,0351,T
497,0353,F
498,0354,F
499,0355,F
500,0405,F
501,8730,F
502,0409,F
503,0410,F
504,0410A,F
505,0417A,F
506,0417B,F
507,0418A,F
508,0419A,F
509,0436B,F
510,0436C,F
511,0436D,F
512,0436E,F
513,0436F,F
514,0438A,F
515,0439A,F
516,0440A,F
517,0440B,F
518,8728,F
519,0441A,F
520,0441B,F
521,0442A,F
522,0443A,F
523,0445A,F
524,0446,F
525,0451,F
526,0452,F
527,0453,F
528,0454,F
529,0459,F
530,0460A,F
531,0462A,F
532,0463A,F
